location
Srinagar
Rajkot
Pune
Bengaluru
Hyderabad
Bhilai
Lucknow
Asansol
Jamshedpur
Agartala
Nashik
Ludhiana
Meerut
Varanasi
Kanpur
Agra
Gwalior
Kochi
Kannur
Chennai
Madurai
Rajkot
Pune
Bengaluru
Bhilai
Lucknow
Asansol
Jamshedpur
Chennai
Mumbai
Pune
Mumbai
Nagpur
Kolhapur
Nashik
Chennai
Ooty
Mahabalipuram
Kodaikanal
Kanyakumari
Hampi
Mysuru
Gokarna
Murdeshwar
Kochi
Munnar
Thiruvananthapuram
Kovalam
Wayanad
Panaji
Vagator
Agonda
Mandrem
Baga
Patna 
Nalanda
Gaya
Muzaffarpur 
Darbhanga
Gurugram
Rohtak
Panipat
Jaipur
Jodhpur
Udaipur
Kota
Lucknow
Varanasi
Agra
Prayagraj
Ayodhya
Guwahati
Jorhat
Dibrugarh
Sivasagar
Hyderabad
Warangal
Nizamabad
Secunderabad
Nalgonda
